film_id,title,description,release_year,language,category,length,rating,is_long_film,inventory_count
54,banger pinocchio,a awe-inspiring drama of a car and a pastry chef who must chase a crocodile in the first manned space station,2006,english,music,113,R,0,5
55,barbarella streetcar,a awe-inspiring story of a feminist and a cat who must conquer a dog in a monastery,2006,english,sci-fi,65,G,0,6
56,barefoot manchurian,a intrepid story of a cat and a student who must vanquish a girl in an abandoned amusement park,2006,english,action,129,G,1,5
57,basic easy,a stunning epistle of a man and a husband who must reach a mad scientist in a jet boat,2006,english,travel,90,PG-13,0,7
58,beach heartbreakers,a fateful display of a womanizer and a mad scientist who must outgun a a shark in soviet georgia,2006,english,documentary,122,G,1,4
59,bear graceland,a astounding saga of a dog and a boy who must kill a teacher in the first manned space station,2006,english,children,160,R,1,5
60,beast hunchback,a awe-inspiring epistle of a student and a squirrel who must defeat a boy in ancient china,2006,english,classics,89,R,0,3
61,beauty grease,a fast-paced display of a composer and a moose who must sink a robot in an abandoned mine shaft,2006,english,drama,175,G,1,6
62,bed highball,a astounding panorama of a lumberjack and a dog who must redeem a woman in an abandoned fun house,2006,english,documentary,106,NC-17,0,2
63,bedazzled married,a astounding character study of a madman and a robot who must meet a mad scientist in an abandoned fun house,2006,english,family,73,PG,0,4
64,beethoven exorcist,a epic display of a pioneer and a student who must challenge a butler in the gulf of mexico,2006,english,drama,151,PG-13,1,3
65,behavior runaway,a unbelieveable drama of a student and a husband who must outrace a sumo wrestler in berlin,2006,english,horror,100,PG,0,4
66,beneath rush,a astounding panorama of a man and a monkey who must discover a man in the first manned space station,2006,english,children,53,NC-17,0,3
67,berets agent,a taut saga of a crocodile and a boy who must overcome a technical writer in ancient china,2006,english,action,77,PG-13,0,6
68,betrayed rear,a emotional character study of a boat and a pioneer who must find a explorer in a shark tank,2006,english,children,122,NC-17,1,4
69,beverly outlaw,a fanciful documentary of a womanizer and a boat who must defeat a madman in the first manned space station,2006,english,sci-fi,85,R,0,8
70,bikini borrowers,a astounding drama of a astronaut and a cat who must discover a woman in the first manned space station,2006,english,animation,142,NC-17,1,4
71,bilko anonymous,a emotional reflection of a teacher and a man who must meet a cat in the first manned space station,2006,english,family,100,PG-13,0,4
72,bill others,a stunning saga of a mad scientist and a forensic psychologist who must challenge a squirrel in a mysql convention,2006,english,documentary,93,PG,0,6
73,bingo talented,a touching tale of a girl and a crocodile who must discover a waitress in nigeria,2006,english,sci-fi,150,PG-13,1,8
74,birch antitrust,a fanciful panorama of a husband and a pioneer who must outgun a dog in a baloon,2006,english,music,162,PG,1,5
75,bird independence,a thrilling documentary of a car and a student who must sink a hunter in the canadian rockies,2006,english,travel,163,G,1,3
76,birdcage casper,a fast-paced saga of a frisbee and a astronaut who must overcome a feminist in ancient india,2006,english,music,103,NC-17,0,3
77,birds perdition,a boring story of a womanizer and a pioneer who must face a dog in california,2006,english,new,61,G,0,6
78,blackout private,a intrepid yarn of a pastry chef and a mad scientist who must challenge a secret agent in ancient japan,2006,english,animation,85,PG,0,7
79,blade polish,a thoughtful character study of a frisbee and a pastry chef who must fight a dentist in the first manned space station,2006,english,drama,114,PG-13,0,6
80,blanket beverly,a emotional documentary of a student and a girl who must build a boat in nigeria,2006,english,family,148,G,1,4
81,blindness gun,a touching drama of a robot and a dentist who must meet a hunter in a jet boat,2006,english,sci-fi,103,PG-13,0,4
82,blood argonauts,a boring drama of a explorer and a man who must kill a lumberjack in a manhattan penthouse,2006,english,family,71,G,0,2
83,blues instinct,a insightful documentary of a boat and a composer who must meet a forensic psychologist in an abandoned fun house,2006,english,family,50,G,0,5
84,boiled dares,a awe-inspiring story of a waitress and a dog who must discover a dentist in ancient japan,2006,english,travel,102,PG,0,4
85,bonnie holocaust,a fast-paced story of a crocodile and a robot who must find a moose in ancient japan,2006,english,documentary,63,G,0,4
86,boogie amelie,a lacklusture character study of a husband and a sumo wrestler who must succumb a technical writer in the gulf of mexico,2006,english,music,121,R,1,8
87,boondock ballroom,a fateful panorama of a crocodile and a boy who must defeat a monkey in the gulf of mexico,2006,english,travel,76,NC-17,0,0
88,born spinal,a touching epistle of a frisbee and a husband who must pursue a student in nigeria,2006,english,travel,179,PG,1,4
89,borrowers bedazzled,a brilliant epistle of a teacher and a sumo wrestler who must defeat a man in an abandoned fun house,2006,english,animation,63,G,0,6
90,boulevard mob,a fateful epistle of a moose and a monkey who must confront a lumberjack in ancient china,2006,english,new,63,R,0,6
91,bound cheaper,a thrilling panorama of a database administrator and a astronaut who must challenge a lumberjack in a baloon,2006,english,classics,98,PG,0,8
92,bowfinger gables,a fast-paced yarn of a waitress and a composer who must outgun a dentist in california,2006,english,horror,72,NC-17,0,4
93,brannigan sunrise,a amazing epistle of a moose and a crocodile who must outrace a dog in berlin,2006,english,new,121,PG,1,3
94,braveheart human,a insightful story of a dog and a pastry chef who must battle a girl in berlin,2006,english,family,176,PG-13,1,2
95,breakfast goldfinger,a beautiful reflection of a student and a student who must fight a moose in berlin,2006,english,new,123,G,1,5
96,breaking home,a beautiful display of a secret agent and a monkey who must battle a sumo wrestler in an abandoned mine shaft,2006,english,new,169,PG-13,1,3
97,bride intrigue,a epic tale of a robot and a monkey who must vanquish a man in new orleans,2006,english,action,56,G,0,6
98,bright encounters,a fateful yarn of a lumberjack and a feminist who must conquer a student in a jet boat,2006,english,drama,73,PG-13,0,3
99,bringing hysterical,a fateful saga of a a shark and a technical writer who must find a woman in a jet boat,2006,english,comedy,136,PG,1,6
100,brooklyn desert,a beautiful drama of a dentist and a composer who must battle a sumo wrestler in the first manned space station,2006,english,foreign,161,R,1,6
101,brotherhood blanket,a fateful character study of a butler and a technical writer who must sink a astronaut in ancient japan,2006,english,documentary,73,R,0,6
102,bubble grosse,a awe-inspiring panorama of a crocodile and a moose who must confront a girl in a baloon,2006,english,sports,60,R,0,2
103,bucket brotherhood,a amazing display of a girl and a womanizer who must succumb a lumberjack in a baloon factory,2006,english,travel,133,PG,1,8
104,bugsy song,a awe-inspiring character study of a secret agent and a boat who must find a squirrel in the first manned space station,2006,english,foreign,119,G,0,3
105,bull shawshank,a fanciful drama of a moose and a squirrel who must conquer a pioneer in the canadian rockies,2006,english,action,125,NC-17,1,5
106,bulworth commandments,a amazing display of a mad cow and a pioneer who must redeem a sumo wrestler in the outback,2006,english,games,61,G,0,2
107,bunch minds,a emotional story of a feminist and a feminist who must escape a pastry chef in a mysql convention,2006,english,drama,63,G,0,2
108,butch panther,a lacklusture yarn of a feminist and a database administrator who must face a hunter in new orleans,2006,english,new,67,PG-13,0,0
109,butterfly chocolat,a fateful story of a girl and a composer who must conquer a husband in a shark tank,2006,english,new,89,G,0,8
110,cabin flash,a stunning epistle of a boat and a man who must challenge a a shark in a baloon factory,2006,english,children,53,NC-17,0,4
111,caddyshack jedi,a awe-inspiring epistle of a woman and a madman who must fight a robot in soviet georgia,2006,english,action,52,NC-17,0,4
112,calendar gunfight,a thrilling drama of a frisbee and a lumberjack who must sink a man in nigeria,2006,english,foreign,120,NC-17,1,7
113,california birds,a thrilling yarn of a database administrator and a robot who must battle a database administrator in ancient india,2006,english,sports,75,NC-17,0,4
114,camelot vacation,a touching character study of a woman and a waitress who must battle a pastry chef in a mysql convention,2006,english,sci-fi,61,NC-17,0,7
115,campus remember,a astounding drama of a crocodile and a mad cow who must build a robot in a jet boat,2006,english,action,167,R,1,7
116,candidate perdition,a brilliant epistle of a composer and a database administrator who must vanquish a mad scientist in the first manned space station,2006,english,classics,70,R,0,6
117,candles grapes,a fanciful character study of a monkey and a explorer who must build a astronaut in an abandoned fun house,2006,english,games,135,NC-17,1,6
118,canyon stock,a thoughtful reflection of a waitress and a feminist who must escape a squirrel in a manhattan penthouse,2006,english,animation,85,R,0,6
119,caper motions,a fateful saga of a moose and a car who must pursue a woman in a mysql convention,2006,english,comedy,176,G,1,7
120,caribbean liberty,a fanciful tale of a pioneer and a technical writer who must outgun a pioneer in a shark tank,2006,english,sports,92,NC-17,0,3
121,carol texas,a astounding character study of a composer and a student who must overcome a composer in a monastery,2006,english,animation,151,PG,1,6
122,carrie bunch,a amazing epistle of a student and a astronaut who must discover a frisbee in the canadian rockies,2006,english,horror,114,PG,0,7
123,casablanca super,a amazing panorama of a crocodile and a forensic psychologist who must pursue a secret agent in the first manned space station,2006,english,travel,85,G,0,5
124,casper dragonfly,a intrepid documentary of a boat and a crocodile who must chase a robot in the sahara desert,2006,english,children,163,PG-13,1,3
125,cassidy wyoming,a intrepid drama of a frisbee and a hunter who must kill a secret agent in new orleans,2006,english,travel,61,NC-17,0,2
126,casualties encino,a insightful yarn of a a shark and a pastry chef who must face a boy in a monastery,2006,english,action,179,G,1,3
127,cat coneheads,a fast-paced panorama of a girl and a a shark who must confront a boy in ancient india,2006,english,comedy,112,G,0,8
128,catch amistad,a boring reflection of a lumberjack and a feminist who must discover a woman in nigeria,2006,english,foreign,183,G,1,0
129,cause date,a taut tale of a explorer and a pastry chef who must conquer a hunter in a mysql convention,2006,english,documentary,179,R,1,6
130,celebrity horn,a amazing documentary of a secret agent and a astronaut who must vanquish a hunter in a shark tank,2006,english,action,110,PG-13,0,6
131,center dinosaur,a beautiful character study of a sumo wrestler and a dentist who must find a dog in california,2006,english,classics,152,PG,1,6
132,chainsaw uptown,a beautiful documentary of a boy and a robot who must discover a squirrel in australia,2006,english,sci-fi,114,PG,0,6
133,chamber italian,a fateful reflection of a moose and a husband who must overcome a monkey in nigeria,2006,english,music,117,NC-17,0,4
134,champion flatliners,a amazing story of a mad cow and a dog who must kill a husband in a monastery,2006,english,animation,51,PG,0,3
135,chance resurrection,a astounding story of a forensic psychologist and a forensic psychologist who must overcome a moose in ancient china,2006,english,sports,70,R,0,7
136,chaplin license,a boring drama of a dog and a forensic psychologist who must outrace a explorer in ancient india,2006,english,new,146,NC-17,1,3
137,charade duffel,a action-packed display of a man and a waitress who must build a dog in a mysql convention,2006,english,sci-fi,66,PG,0,4
138,chariots conspiracy,a unbelieveable epistle of a robot and a husband who must chase a robot in the first manned space station,2006,english,sci-fi,71,R,0,5
139,chasing fight,a astounding saga of a technical writer and a butler who must battle a butler in a shark tank,2006,english,family,114,PG,0,6
140,cheaper clyde,a emotional character study of a pioneer and a girl who must discover a dog in ancient japan,2006,english,sci-fi,87,G,0,5
141,chicago north,a fateful yarn of a mad cow and a waitress who must battle a student in california,2006,english,games,185,PG-13,1,5
142,chicken hellfighters,a emotional drama of a dog and a explorer who must outrace a technical writer in australia,2006,english,documentary,122,PG,1,5
143,chill luck,a lacklusture epistle of a boat and a technical writer who must fight a a shark in the canadian rockies,2006,english,drama,142,PG,1,7
144,chinatown gladiator,a brilliant panorama of a technical writer and a lumberjack who must escape a butler in ancient india,2006,english,new,61,PG,0,0
145,chisum behavior,a epic documentary of a sumo wrestler and a butler who must kill a car in ancient india,2006,english,family,124,G,1,3
146,chitty lock,a boring epistle of a boat and a database administrator who must kill a sumo wrestler in the first manned space station,2006,english,drama,107,G,0,3
147,chocolat harry,a action-packed epistle of a dentist and a moose who must meet a mad cow in ancient japan,2006,english,family,101,NC-17,0,6
148,chocolate duck,a unbelieveable story of a mad scientist and a technical writer who must discover a composer in ancient china,2006,english,foreign,132,R,1,0
149,christmas moonshine,a action-packed epistle of a feminist and a astronaut who must conquer a boat in a manhattan penthouse,2006,english,children,150,NC-17,1,6
150,cider desire,a stunning character study of a composer and a mad cow who must succumb a cat in soviet georgia,2006,english,documentary,101,PG,0,6
151,cincinatti whisperer,a brilliant saga of a pastry chef and a hunter who must confront a butler in berlin,2006,english,sci-fi,143,NC-17,1,4
152,circus youth,a thoughtful drama of a pastry chef and a dentist who must pursue a girl in a baloon,2006,english,children,90,PG-13,0,4
153,citizen shrek,a fanciful character study of a technical writer and a husband who must redeem a robot in the outback,2006,english,sci-fi,165,G,1,4
154,clash freddy,a amazing yarn of a composer and a squirrel who must escape a astronaut in australia,2006,english,animation,81,G,0,7
155,cleopatra devil,a fanciful documentary of a crocodile and a technical writer who must fight a a shark in a baloon,2006,english,new,150,PG-13,1,5
156,clerks angels,a thrilling display of a sumo wrestler and a girl who must confront a man in a baloon,2006,english,documentary,164,G,1,2
157,clockwork paradise,a insightful documentary of a technical writer and a feminist who must challenge a cat in a baloon,2006,english,children,143,PG-13,1,3
158,clones pinocchio,a amazing drama of a car and a robot who must pursue a dentist in new orleans,2006,english,music,124,R,1,5
159,closer bang,a unbelieveable panorama of a frisbee and a hunter who must vanquish a monkey in ancient india,2006,english,comedy,58,R,0,7
160,club graffiti,a epic tale of a pioneer and a hunter who must escape a girl in a u-boat,2006,english,animation,65,PG-13,0,5
161,clue grail,a taut tale of a butler and a mad scientist who must build a crocodile in ancient china,2006,english,music,70,NC-17,0,2
162,clueless bucket,a taut tale of a car and a pioneer who must conquer a sumo wrestler in an abandoned fun house,2006,english,action,95,R,0,7
163,clyde theory,a beautiful yarn of a astronaut and a frisbee who must overcome a explorer in a jet boat,2006,english,new,139,PG-13,1,3
164,coast rainbow,a astounding documentary of a mad cow and a pioneer who must challenge a butler in the sahara desert,2006,english,documentary,55,PG,0,5
165,coldblooded darling,a brilliant panorama of a dentist and a moose who must find a student in the gulf of mexico,2006,english,sci-fi,70,G,0,5
166,color philadelphia,a thoughtful panorama of a car and a crocodile who must sink a monkey in the sahara desert,2006,english,classics,149,G,1,6
167,coma head,a awe-inspiring drama of a boy and a frisbee who must escape a pastry chef in california,2006,english,travel,109,NC-17,0,7
168,comancheros enemy,a boring saga of a lumberjack and a monkey who must find a monkey in the gulf of mexico,2006,english,children,67,R,0,2
169,comforts rush,a unbelieveable panorama of a pioneer and a husband who must meet a mad cow in an abandoned mine shaft,2006,english,travel,76,NC-17,0,4
170,command darling,a awe-inspiring tale of a forensic psychologist and a woman who must challenge a database administrator in ancient japan,2006,english,foreign,120,PG-13,1,6
171,commandments express,a fanciful saga of a student and a mad scientist who must battle a hunter in an abandoned mine shaft,2006,english,horror,59,R,0,0
172,coneheads smoochy,a touching story of a womanizer and a composer who must pursue a husband in nigeria,2006,english,drama,112,NC-17,0,7
173,confessions maguire,a insightful story of a car and a boy who must battle a technical writer in a baloon,2006,english,drama,65,PG-13,0,5
174,confidential interview,a stunning reflection of a cat and a woman who must find a astronaut in ancient japan,2006,english,music,180,NC-17,1,8
175,confused candles,a stunning epistle of a cat and a forensic psychologist who must confront a pioneer in a baloon,2006,english,family,122,PG-13,1,5
176,congeniality quest,a touching documentary of a cat and a pastry chef who must find a lumberjack in a baloon,2006,english,sports,87,PG-13,0,6
177,connecticut tramp,a unbelieveable drama of a crocodile and a mad cow who must reach a dentist in a shark tank,2006,english,sci-fi,172,R,1,3
178,connection microcosmos,a fateful documentary of a crocodile and a husband who must face a husband in the first manned space station,2006,english,comedy,115,G,0,2
179,conquerer nuts,a taut drama of a mad scientist and a man who must escape a pioneer in an abandoned mine shaft,2006,english,drama,173,G,1,4
180,conspiracy spirit,a awe-inspiring story of a student and a frisbee who must conquer a crocodile in an abandoned mine shaft,2006,english,classics,184,PG-13,1,2
181,contact anonymous,a insightful display of a a shark and a monkey who must face a database administrator in ancient india,2006,english,travel,166,PG-13,1,7
182,control anthem,a fateful documentary of a robot and a student who must battle a cat in a monastery,2006,english,comedy,185,G,1,2
183,conversation downhill,a taut character study of a husband and a waitress who must sink a squirrel in a mysql convention,2006,english,family,112,R,0,6
184,core suit,a unbelieveable tale of a car and a explorer who must confront a boat in a manhattan penthouse,2006,english,classics,92,PG-13,0,5
185,cowboy doom,a astounding drama of a boy and a lumberjack who must fight a butler in a baloon,2006,english,foreign,146,PG,1,2
186,craft outfield,a lacklusture display of a explorer and a hunter who must succumb a database administrator in a baloon factory,2006,english,drama,64,NC-17,0,4
187,cranes reservoir,a fanciful documentary of a teacher and a dog who must outgun a forensic psychologist in a baloon factory,2006,english,sports,57,NC-17,0,3
188,crazy home,a fanciful panorama of a boy and a woman who must vanquish a database administrator in the outback,2006,english,comedy,136,PG,1,3
189,creatures shakespeare,a emotional drama of a womanizer and a squirrel who must vanquish a crocodile in ancient india,2006,english,games,139,NC-17,1,6
190,creepers kane,a awe-inspiring reflection of a squirrel and a boat who must outrace a car in a jet boat,2006,english,classics,172,NC-17,1,4
191,crooked frogmen,a unbelieveable drama of a hunter and a database administrator who must battle a crocodile in an abandoned amusement park,2006,english,children,143,PG-13,1,6
192,crossing divorce,a beautiful documentary of a dog and a robot who must redeem a womanizer in berlin,2006,english,foreign,50,R,0,0
193,crossroads casualties,a intrepid documentary of a sumo wrestler and a astronaut who must battle a composer in the outback,2006,english,animation,153,G,1,8
194,crow grease,a awe-inspiring documentary of a woman and a husband who must sink a database administrator in the first manned space station,2006,english,action,104,PG,0,4
195,crowds telemark,a intrepid documentary of a astronaut and a forensic psychologist who must find a frisbee in an abandoned fun house,2006,english,sci-fi,112,R,0,0
196,cruelty unforgiven,a brilliant tale of a car and a moose who must battle a dentist in nigeria,2006,english,classics,69,G,0,2
197,crusade honey,a fast-paced reflection of a explorer and a butler who must battle a madman in an abandoned amusement park,2006,english,sports,112,R,0,2
198,crystal breaking,a fast-paced character study of a feminist and a explorer who must face a pastry chef in ancient japan,2006,english,foreign,184,NC-17,1,0
199,cupboard sinners,a emotional reflection of a frisbee and a boat who must reach a pastry chef in an abandoned amusement park,2006,english,documentary,56,R,0,8
200,curtain videotape,a boring reflection of a dentist and a mad cow who must chase a secret agent in a shark tank,2006,english,games,133,PG-13,1,8
201,cyclone family,a lacklusture drama of a student and a monkey who must sink a womanizer in a mysql convention,2006,english,foreign,176,PG,1,4
202,daddy pittsburgh,a epic story of a a shark and a student who must confront a explorer in the gulf of mexico,2006,english,comedy,161,G,1,3
203,daisy menagerie,a fast-paced saga of a pastry chef and a monkey who must sink a composer in ancient india,2006,english,sci-fi,84,G,0,4
204,dalmations sweden,a emotional epistle of a moose and a hunter who must overcome a robot in a manhattan penthouse,2006,english,drama,106,PG,0,6
205,dances none,a insightful reflection of a a shark and a dog who must kill a butler in an abandoned amusement park,2006,english,action,58,NC-17,0,4
206,dancing fever,a stunning story of a explorer and a forensic psychologist who must face a crocodile in a shark tank,2006,english,documentary,144,G,1,8
207,dangerous uptown,a unbelieveable story of a mad scientist and a woman who must overcome a dog in california,2006,english,foreign,121,PG,1,4
208,dares pluto,a fateful story of a robot and a dentist who must defeat a astronaut in new orleans,2006,english,animation,89,PG-13,0,3
209,darkness war,a touching documentary of a husband and a hunter who must escape a boy in the sahara desert,2006,english,drama,99,NC-17,0,4
210,darko dorado,a stunning reflection of a frisbee and a husband who must redeem a dog in new orleans,2006,english,action,130,NC-17,1,3
211,darling breaking,a brilliant documentary of a astronaut and a squirrel who must succumb a student in the gulf of mexico,2006,english,games,165,PG-13,1,2
212,darn forrester,a fateful story of a a shark and a explorer who must succumb a technical writer in a jet boat,2006,english,action,185,G,1,5
213,date speed,a touching saga of a composer and a moose who must discover a dentist in a mysql convention,2006,english,family,104,R,0,4
214,daughter madigan,a beautiful tale of a hunter and a mad scientist who must confront a squirrel in the first manned space station,2006,english,children,59,PG-13,0,4
215,dawn pond,a thoughtful documentary of a dentist and a forensic psychologist who must defeat a waitress in berlin,2006,english,games,57,PG,0,6
216,day unfaithful,a stunning documentary of a composer and a mad scientist who must find a technical writer in a u-boat,2006,english,new,113,G,0,5
217,dazed punk,a action-packed story of a pioneer and a technical writer who must discover a forensic psychologist in an abandoned amusement park,2006,english,games,120,G,1,0
218,deceiver betrayed,a taut story of a moose and a squirrel who must build a husband in ancient india,2006,english,drama,122,NC-17,1,7
219,deep crusade,a amazing tale of a crocodile and a squirrel who must discover a composer in australia,2006,english,documentary,51,PG-13,0,4
220,deer virginian,a thoughtful story of a mad cow and a womanizer who must overcome a mad scientist in soviet georgia,2006,english,music,106,NC-17,0,8
221,deliverance mulholland,a astounding saga of a monkey and a moose who must conquer a butler in a shark tank,2006,english,documentary,100,R,0,0
222,desert poseidon,a brilliant documentary of a butler and a frisbee who must build a astronaut in new orleans,2006,english,horror,64,R,0,6
223,desire alien,a fast-paced tale of a dog and a forensic psychologist who must meet a astronaut in the first manned space station,2006,english,animation,76,NC-17,0,2
224,desperate trainspotting,a epic yarn of a forensic psychologist and a teacher who must face a lumberjack in california,2006,english,travel,81,G,0,2
225,destination jerk,a beautiful yarn of a teacher and a cat who must build a car in a u-boat,2006,english,drama,76,PG-13,0,3
226,destiny saturday,a touching drama of a crocodile and a crocodile who must conquer a explorer in soviet georgia,2006,english,new,56,G,0,5
227,details packer,a epic saga of a waitress and a composer who must face a boat in a u-boat,2006,english,games,88,R,0,5
228,detective vision,a fanciful documentary of a pioneer and a woman who must redeem a hunter in ancient japan,2006,english,classics,143,PG-13,1,7
229,devil desire,a beautiful reflection of a monkey and a dentist who must face a database administrator in ancient japan,2006,english,action,87,R,0,4
230,diary panic,a thoughtful character study of a frisbee and a mad cow who must outgun a man in ancient india,2006,english,drama,107,G,0,2
231,dinosaur secretary,a action-packed drama of a feminist and a girl who must reach a robot in the canadian rockies,2006,english,family,63,R,0,8
232,dirty ace,a action-packed character study of a forensic psychologist and a girl who must build a dentist in the outback,2006,english,games,147,NC-17,1,5
233,disciple mother,a touching reflection of a mad scientist and a boat who must face a moose in a shark tank,2006,english,travel,141,PG,1,6
234,disturbing scarface,a lacklusture display of a crocodile and a butler who must overcome a monkey in a u-boat,2006,english,sci-fi,94,R,0,7
