film_id,titulo_pelicula,actor_id,actor_full_name,total_actores_en_pelicula,total_peliculas_del_actor,categoria_reparto,nivel_protagonismo
5,African Egg,181,Matthew Carrey,5,39,Elenco Estándar,Actor Muy Prolífico
6,Agent Truman,108,Warren Nolte,7,34,Elenco Estándar,Actor Muy Prolífico
6,Agent Truman,169,Kenneth Hoffman,7,29,Elenco Estándar,Actor Promedio
6,Agent Truman,137,Morgan Williams,7,27,Elenco Estándar,Actor Promedio
6,Agent Truman,21,Kirsten Paltrow,7,27,Elenco Estándar,Actor Promedio
6,Agent Truman,23,Sandra Kilmer,7,37,Elenco Estándar,Actor Muy Prolífico
6,Agent Truman,62,Jayne Neeson,7,29,Elenco Estándar,Actor Promedio
6,Agent Truman,197,Reese West,7,33,Elenco Estándar,Actor Muy Prolífico
7,Airplane Sierra,185,Michael Bolger,5,30,Elenco Estándar,Actor Promedio
7,Airplane Sierra,99,Jim Mostel,5,26,Elenco Estándar,Actor Promedio
7,Airplane Sierra,162,Oprah Kilmer,5,25,Elenco Estándar,Actor Promedio
7,Airplane Sierra,133,Richard Penn,5,30,Elenco Estándar,Actor Promedio
7,Airplane Sierra,170,Mena Hopper,5,24,Elenco Estándar,Actor Promedio
8,Airport Pollock,110,Susan Davis,4,21,Elenco Estándar,Actor Promedio
8,Airport Pollock,138,Lucille Dee,4,24,Elenco Estándar,Actor Promedio
8,Airport Pollock,96,Gene Willis,4,23,Elenco Estándar,Actor Promedio
8,Airport Pollock,55,Fay Kilmer,4,20,Elenco Estándar,Actor Promedio
9,Alabama Devil,68,Rip Winslet,9,30,Elenco Estándar,Actor Promedio
9,Alabama Devil,22,Elvis Marx,9,26,Elenco Estándar,Actor Promedio
9,Alabama Devil,10,Christian Gable,9,22,Elenco Estándar,Actor Promedio
9,Alabama Devil,53,Mena Temple,9,30,Elenco Estándar,Actor Promedio
9,Alabama Devil,26,Rip Crawford,9,33,Elenco Estándar,Actor Muy Prolífico
9,Alabama Devil,194,Meryl Allen,9,22,Elenco Estándar,Actor Promedio
9,Alabama Devil,175,William Hackman,9,27,Elenco Estándar,Actor Promedio
9,Alabama Devil,108,Warren Nolte,9,34,Elenco Estándar,Actor Muy Prolífico
9,Alabama Devil,130,Greta Keitel,9,27,Elenco Estándar,Actor Promedio
10,Aladdin Calendar,142,Jada Ryder,8,31,Elenco Estándar,Actor Muy Prolífico
10,Aladdin Calendar,157,Greta Malden,8,32,Elenco Estándar,Actor Muy Prolífico
10,Aladdin Calendar,117,Renee Tracy,8,33,Elenco Estándar,Actor Muy Prolífico
10,Aladdin Calendar,188,Rock Dukakis,8,30,Elenco Estándar,Actor Promedio
10,Aladdin Calendar,64,Ray Johansson,8,30,Elenco Estándar,Actor Promedio
10,Aladdin Calendar,29,Alec Wayne,8,29,Elenco Estándar,Actor Promedio
10,Aladdin Calendar,35,Judy Dean,8,15,Elenco Estándar,Actor Promedio
10,Aladdin Calendar,37,Val Bolger,8,35,Elenco Estándar,Actor Muy Prolífico
11,Alamo Videotape,40,Johnny Cage,4,29,Elenco Estándar,Actor Promedio
11,Alamo Videotape,90,Sean Guiness,4,33,Elenco Estándar,Actor Muy Prolífico
11,Alamo Videotape,81,Scarlett Damon,4,36,Elenco Estándar,Actor Muy Prolífico
11,Alamo Videotape,174,Michael Bening,4,24,Elenco Estándar,Actor Promedio
12,Alaska Phantom,109,Sylvester Dern,7,22,Elenco Estándar,Actor Promedio
12,Alaska Phantom,146,Albert Johansson,7,33,Elenco Estándar,Actor Muy Prolífico
12,Alaska Phantom,180,Jeff Silverstone,7,25,Elenco Estándar,Actor Promedio
12,Alaska Phantom,105,Sidney Crowe,7,34,Elenco Estándar,Actor Muy Prolífico
12,Alaska Phantom,177,Gene Mckellen,7,27,Elenco Estándar,Actor Promedio
12,Alaska Phantom,37,Val Bolger,7,35,Elenco Estándar,Actor Muy Prolífico
12,Alaska Phantom,75,Burt Posey,7,24,Elenco Estándar,Actor Promedio
13,Ali Forever,77,Cary Mcconaughey,5,24,Elenco Estándar,Actor Promedio
13,Ali Forever,91,Christopher Berry,5,20,Elenco Estándar,Actor Promedio
13,Ali Forever,94,Kenneth Torn,5,33,Elenco Estándar,Actor Muy Prolífico
13,Ali Forever,114,Morgan Mcdormand,5,25,Elenco Estándar,Actor Promedio
13,Ali Forever,176,Jon Chase,5,29,Elenco Estándar,Actor Promedio
14,Alice Fantasia,188,Rock Dukakis,4,30,Elenco Estándar,Actor Promedio
14,Alice Fantasia,137,Morgan Williams,4,27,Elenco Estándar,Actor Promedio
14,Alice Fantasia,85,Minnie Zellweger,4,31,Elenco Estándar,Actor Muy Prolífico
14,Alice Fantasia,28,Woody Hoffman,4,31,Elenco Estándar,Actor Muy Prolífico
15,Alien Center,69,Kenneth Paltrow,6,21,Elenco Estándar,Actor Promedio
15,Alien Center,36,Burt Dukakis,6,29,Elenco Estándar,Actor Promedio
15,Alien Center,105,Sidney Crowe,6,34,Elenco Estándar,Actor Muy Prolífico
15,Alien Center,170,Mena Hopper,6,24,Elenco Estándar,Actor Promedio
15,Alien Center,117,Renee Tracy,6,33,Elenco Estándar,Actor Muy Prolífico
15,Alien Center,164,Humphrey Willis,6,26,Elenco Estándar,Actor Promedio
16,Alley Evolution,146,Albert Johansson,5,33,Elenco Estándar,Actor Muy Prolífico
16,Alley Evolution,12,Karl Berry,5,31,Elenco Estándar,Actor Muy Prolífico
16,Alley Evolution,57,Jude Cruise,5,30,Elenco Estándar,Actor Promedio
16,Alley Evolution,191,Gregory Gooding,5,30,Elenco Estándar,Actor Promedio
16,Alley Evolution,192,John Suvari,5,29,Elenco Estándar,Actor Promedio
17,Alone Trip,187,Renee Ball,8,33,Elenco Estándar,Actor Muy Prolífico
17,Alone Trip,100,Spencer Depp,8,24,Elenco Estándar,Actor Promedio
17,Alone Trip,167,Laurence Bullock,8,26,Elenco Estándar,Actor Promedio
17,Alone Trip,160,Chris Depp,8,20,Elenco Estándar,Actor Promedio
17,Alone Trip,13,Uma Wood,8,35,Elenco Estándar,Actor Muy Prolífico
17,Alone Trip,12,Karl Berry,8,31,Elenco Estándar,Actor Muy Prolífico
17,Alone Trip,3,Ed Chase,8,22,Elenco Estándar,Actor Promedio
17,Alone Trip,82,Woody Jolie,8,31,Elenco Estándar,Actor Muy Prolífico
18,Alter Victory,45,Reese Kilmer,4,32,Elenco Estándar,Actor Muy Prolífico
18,Alter Victory,162,Oprah Kilmer,4,25,Elenco Estándar,Actor Promedio
18,Alter Victory,144,Angela Witherspoon,4,35,Elenco Estándar,Actor Muy Prolífico
18,Alter Victory,142,Jada Ryder,4,31,Elenco Estándar,Actor Muy Prolífico
19,Amadeus Holy,104,Penelope Cronyn,6,31,Elenco Estándar,Actor Muy Prolífico
19,Amadeus Holy,84,James Pitt,6,31,Elenco Estándar,Actor Muy Prolífico
19,Amadeus Holy,37,Val Bolger,6,35,Elenco Estándar,Actor Muy Prolífico
19,Amadeus Holy,43,Kirk Jovovich,6,26,Elenco Estándar,Actor Promedio
19,Amadeus Holy,5,Johnny Lollobrigida,6,29,Elenco Estándar,Actor Promedio
19,Amadeus Holy,27,Julia Mcqueen,6,33,Elenco Estándar,Actor Muy Prolífico
20,Amelie Hellfighters,52,Carmen Hunt,6,26,Elenco Estándar,Actor Promedio
20,Amelie Hellfighters,159,Laura Brody,6,26,Elenco Estándar,Actor Promedio
20,Amelie Hellfighters,139,Ewan Gooding,6,33,Elenco Estándar,Actor Muy Prolífico
20,Amelie Hellfighters,155,Ian Tandy,6,31,Elenco Estándar,Actor Muy Prolífico
20,Amelie Hellfighters,136,Ed Mansfield,6,32,Elenco Estándar,Actor Muy Prolífico
20,Amelie Hellfighters,102,Walter Torn,6,41,Elenco Estándar,Actor Muy Prolífico
21,American Circus,126,Frances Tomei,5,23,Elenco Estándar,Actor Promedio
21,American Circus,105,Sidney Crowe,5,34,Elenco Estándar,Actor Muy Prolífico
21,American Circus,119,Warren Jackman,5,32,Elenco Estándar,Actor Muy Prolífico
21,American Circus,25,Kevin Bloom,5,21,Elenco Estándar,Actor Promedio
21,American Circus,26,Rip Crawford,5,33,Elenco Estándar,Actor Muy Prolífico
22,Amistad Midsummer,77,Cary Mcconaughey,4,24,Elenco Estándar,Actor Promedio
22,Amistad Midsummer,95,Daryl Wahlberg,4,31,Elenco Estándar,Actor Muy Prolífico
22,Amistad Midsummer,122,Salma Nolte,4,25,Elenco Estándar,Actor Promedio
22,Amistad Midsummer,124,Scarlett Bening,4,26,Elenco Estándar,Actor Promedio
23,Anaconda Confessions,150,Jayne Nolte,5,34,Elenco Estándar,Actor Muy Prolífico
23,Anaconda Confessions,164,Humphrey Willis,5,26,Elenco Estándar,Actor Promedio
23,Anaconda Confessions,4,Jennifer Davis,5,22,Elenco Estándar,Actor Promedio
23,Anaconda Confessions,1,Penelope Guiness,5,19,Elenco Estándar,Actor Promedio
23,Anaconda Confessions,22,Elvis Marx,5,26,Elenco Estándar,Actor Promedio
24,Analyze Hoosiers,42,Tom Miranda,5,27,Elenco Estándar,Actor Promedio
24,Analyze Hoosiers,67,Jessica Bailey,5,23,Elenco Estándar,Actor Promedio
24,Analyze Hoosiers,38,Tom Mckellen,5,25,Elenco Estándar,Actor Promedio
24,Analyze Hoosiers,179,Ed Guiness,5,29,Elenco Estándar,Actor Promedio
24,Analyze Hoosiers,157,Greta Malden,5,32,Elenco Estándar,Actor Muy Prolífico
25,Angels Life,167,Laurence Bullock,9,26,Elenco Estándar,Actor Promedio
25,Angels Life,136,Ed Mansfield,9,32,Elenco Estándar,Actor Muy Prolífico
25,Angels Life,166,Nick Degeneres,9,22,Elenco Estándar,Actor Promedio
25,Angels Life,187,Renee Ball,9,33,Elenco Estándar,Actor Muy Prolífico
25,Angels Life,4,Jennifer Davis,9,22,Elenco Estándar,Actor Promedio
25,Angels Life,7,Grace Mostel,9,30,Elenco Estándar,Actor Promedio
25,Angels Life,47,Julia Barrymore,9,24,Elenco Estándar,Actor Promedio
25,Angels Life,91,Christopher Berry,9,20,Elenco Estándar,Actor Promedio
25,Angels Life,1,Penelope Guiness,9,19,Elenco Estándar,Actor Promedio
26,Annie Identity,71,Adam Grant,3,18,Elenco Estándar,Actor Promedio
26,Annie Identity,128,Cate Mcqueen,3,30,Elenco Estándar,Actor Promedio
26,Annie Identity,130,Greta Keitel,3,27,Elenco Estándar,Actor Promedio
27,Anonymous Human,154,Meryl Gibson,9,28,Elenco Estándar,Actor Promedio
27,Anonymous Human,140,Whoopi Hurt,9,32,Elenco Estándar,Actor Muy Prolífico
27,Anonymous Human,99,Jim Mostel,9,26,Elenco Estándar,Actor Promedio
27,Anonymous Human,148,Emily Dee,9,14,Elenco Estándar,Actor Promedio
27,Anonymous Human,110,Susan Davis,9,21,Elenco Estándar,Actor Promedio
27,Anonymous Human,170,Mena Hopper,9,24,Elenco Estándar,Actor Promedio
27,Anonymous Human,179,Ed Guiness,9,29,Elenco Estándar,Actor Promedio
27,Anonymous Human,55,Fay Kilmer,9,20,Elenco Estándar,Actor Promedio
27,Anonymous Human,7,Grace Mostel,9,30,Elenco Estándar,Actor Promedio
28,Anthem Luke,74,Milla Keitel,2,28,Elenco Estándar,Actor Promedio
28,Anthem Luke,162,Oprah Kilmer,2,25,Elenco Estándar,Actor Promedio
29,Antitrust Tomatoes,175,William Hackman,7,27,Elenco Estándar,Actor Promedio
29,Antitrust Tomatoes,122,Salma Nolte,7,25,Elenco Estándar,Actor Promedio
29,Antitrust Tomatoes,105,Sidney Crowe,7,34,Elenco Estándar,Actor Muy Prolífico
29,Antitrust Tomatoes,187,Renee Ball,7,33,Elenco Estándar,Actor Muy Prolífico
29,Antitrust Tomatoes,197,Reese West,7,33,Elenco Estándar,Actor Muy Prolífico
29,Antitrust Tomatoes,13,Uma Wood,7,35,Elenco Estándar,Actor Muy Prolífico
29,Antitrust Tomatoes,6,Bette Nicholson,7,20,Elenco Estándar,Actor Promedio
30,Anything Savannah,9,Joe Swank,3,25,Elenco Estándar,Actor Promedio
30,Anything Savannah,163,Christopher West,3,21,Elenco Estándar,Actor Promedio
30,Anything Savannah,178,Lisa Monroe,3,23,Elenco Estándar,Actor Promedio
31,Apache Divine,2,Nick Wahlberg,4,25,Elenco Estándar,Actor Promedio
31,Apache Divine,60,Henry Berry,4,35,Elenco Estándar,Actor Muy Prolífico
31,Apache Divine,15,Cuba Olivier,4,28,Elenco Estándar,Actor Promedio
31,Apache Divine,49,Anne Cronyn,4,27,Elenco Estándar,Actor Promedio
32,Apocalypse Flamingos,79,Mae Hoffman,5,28,Elenco Estándar,Actor Promedio
32,Apocalypse Flamingos,183,Russell Close,5,19,Elenco Estándar,Actor Promedio
32,Apocalypse Flamingos,162,Oprah Kilmer,5,25,Elenco Estándar,Actor Promedio
32,Apocalypse Flamingos,158,Vivien Basinger,5,35,Elenco Estándar,Actor Muy Prolífico
32,Apocalypse Flamingos,168,Will Wilson,5,31,Elenco Estándar,Actor Muy Prolífico
33,Apollo Teen,162,Oprah Kilmer,8,25,Elenco Estándar,Actor Promedio
33,Apollo Teen,146,Albert Johansson,8,33,Elenco Estándar,Actor Muy Prolífico
33,Apollo Teen,170,Mena Hopper,8,24,Elenco Estándar,Actor Promedio
33,Apollo Teen,180,Jeff Silverstone,8,25,Elenco Estándar,Actor Promedio
33,Apollo Teen,182,Debbie Akroyd,8,24,Elenco Estándar,Actor Promedio
33,Apollo Teen,136,Ed Mansfield,8,32,Elenco Estándar,Actor Muy Prolífico
33,Apollo Teen,82,Woody Jolie,8,31,Elenco Estándar,Actor Muy Prolífico
33,Apollo Teen,79,Mae Hoffman,8,28,Elenco Estándar,Actor Promedio
34,Arabia Dogma,27,Julia Mcqueen,12,33,Elenco Grande,Actor Muy Prolífico
34,Arabia Dogma,72,Sean Williams,12,26,Elenco Grande,Actor Promedio
34,Arabia Dogma,40,Johnny Cage,12,29,Elenco Grande,Actor Promedio
34,Arabia Dogma,12,Karl Berry,12,31,Elenco Grande,Actor Muy Prolífico
34,Arabia Dogma,57,Jude Cruise,12,30,Elenco Grande,Actor Promedio
34,Arabia Dogma,75,Burt Posey,12,24,Elenco Grande,Actor Promedio
34,Arabia Dogma,26,Rip Crawford,12,33,Elenco Grande,Actor Muy Prolífico
34,Arabia Dogma,157,Greta Malden,12,32,Elenco Grande,Actor Muy Prolífico
34,Arabia Dogma,178,Lisa Monroe,12,23,Elenco Grande,Actor Promedio
34,Arabia Dogma,112,Russell Bacall,12,25,Elenco Grande,Actor Promedio
34,Arabia Dogma,126,Frances Tomei,12,23,Elenco Grande,Actor Promedio
34,Arabia Dogma,102,Walter Torn,12,41,Elenco Grande,Actor Muy Prolífico
35,Arachnophobia Rollercoaster,118,Cuba Allen,8,25,Elenco Estándar,Actor Promedio
35,Arachnophobia Rollercoaster,184,Humphrey Garland,8,29,Elenco Estándar,Actor Promedio
35,Arachnophobia Rollercoaster,135,Rita Reynolds,8,20,Elenco Estándar,Actor Promedio
35,Arachnophobia Rollercoaster,139,Ewan Gooding,8,33,Elenco Estándar,Actor Muy Prolífico
35,Arachnophobia Rollercoaster,113,Morgan Hopkins,8,27,Elenco Estándar,Actor Promedio
35,Arachnophobia Rollercoaster,35,Judy Dean,8,15,Elenco Estándar,Actor Promedio
35,Arachnophobia Rollercoaster,7,Grace Mostel,8,30,Elenco Estándar,Actor Promedio
35,Arachnophobia Rollercoaster,95,Daryl Wahlberg,8,31,Elenco Estándar,Actor Muy Prolífico
36,Argonauts Town,47,Julia Barrymore,5,24,Elenco Estándar,Actor Promedio
36,Argonauts Town,96,Gene Willis,5,23,Elenco Estándar,Actor Promedio
36,Argonauts Town,73,Gary Penn,5,26,Elenco Estándar,Actor Promedio
36,Argonauts Town,127,Kevin Garland,5,33,Elenco Estándar,Actor Muy Prolífico
36,Argonauts Town,116,Dan Streep,5,24,Elenco Estándar,Actor Promedio
37,Arizona Bang,130,Greta Keitel,4,27,Elenco Estándar,Actor Promedio
37,Arizona Bang,112,Russell Bacall,4,25,Elenco Estándar,Actor Promedio
37,Arizona Bang,64,Ray Johansson,4,30,Elenco Estándar,Actor Promedio
37,Arizona Bang,12,Karl Berry,4,31,Elenco Estándar,Actor Muy Prolífico
38,Ark Ridgemont,46,Parker Goldberg,3,24,Elenco Estándar,Actor Promedio
38,Ark Ridgemont,166,Nick Degeneres,3,22,Elenco Estándar,Actor Promedio
38,Ark Ridgemont,190,Audrey Bailey,3,27,Elenco Estándar,Actor Promedio
39,Armageddon Lost,191,Gregory Gooding,7,30,Elenco Estándar,Actor Promedio
39,Armageddon Lost,84,James Pitt,7,31,Elenco Estándar,Actor Muy Prolífico
39,Armageddon Lost,65,Angela Hudson,7,34,Elenco Estándar,Actor Muy Prolífico
39,Armageddon Lost,118,Cuba Allen,7,25,Elenco Estándar,Actor Promedio
39,Armageddon Lost,104,Penelope Cronyn,7,31,Elenco Estándar,Actor Muy Prolífico
39,Armageddon Lost,145,Kim Allen,7,28,Elenco Estándar,Actor Promedio
39,Armageddon Lost,177,Gene Mckellen,7,27,Elenco Estándar,Actor Promedio
40,Army Flintstones,104,Penelope Cronyn,7,31,Elenco Estándar,Actor Muy Prolífico
40,Army Flintstones,183,Russell Close,7,19,Elenco Estándar,Actor Promedio
40,Army Flintstones,181,Matthew Carrey,7,39,Elenco Estándar,Actor Muy Prolífico
40,Army Flintstones,96,Gene Willis,7,23,Elenco Estándar,Actor Promedio
40,Army Flintstones,79,Mae Hoffman,7,28,Elenco Estándar,Actor Promedio
40,Army Flintstones,77,Cary Mcconaughey,7,24,Elenco Estándar,Actor Promedio
40,Army Flintstones,3,Ed Chase,7,22,Elenco Estándar,Actor Promedio
41,Arsenic Independence,118,Cuba Allen,3,25,Elenco Estándar,Actor Promedio
41,Arsenic Independence,135,Rita Reynolds,3,20,Elenco Estándar,Actor Promedio
41,Arsenic Independence,162,Oprah Kilmer,3,25,Elenco Estándar,Actor Promedio
42,Artist Coldblooded,117,Renee Tracy,7,33,Elenco Estándar,Actor Muy Prolífico
42,Artist Coldblooded,105,Sidney Crowe,7,34,Elenco Estándar,Actor Muy Prolífico
42,Artist Coldblooded,194,Meryl Allen,7,22,Elenco Estándar,Actor Promedio
42,Artist Coldblooded,23,Sandra Kilmer,7,37,Elenco Estándar,Actor Muy Prolífico
42,Artist Coldblooded,43,Kirk Jovovich,7,26,Elenco Estándar,Actor Promedio
42,Artist Coldblooded,62,Jayne Neeson,7,29,Elenco Estándar,Actor Promedio
42,Artist Coldblooded,3,Ed Chase,7,22,Elenco Estándar,Actor Promedio
43,Atlantis Cause,28,Woody Hoffman,9,31,Elenco Estándar,Actor Muy Prolífico
43,Atlantis Cause,34,Audrey Olivier,9,25,Elenco Estándar,Actor Promedio
43,Atlantis Cause,161,Harvey Hope,9,32,Elenco Estándar,Actor Muy Prolífico
43,Atlantis Cause,130,Greta Keitel,9,27,Elenco Estándar,Actor Promedio
43,Atlantis Cause,126,Frances Tomei,9,23,Elenco Estándar,Actor Promedio
43,Atlantis Cause,160,Chris Depp,9,20,Elenco Estándar,Actor Promedio
43,Atlantis Cause,189,Cuba Birch,9,24,Elenco Estándar,Actor Promedio
43,Atlantis Cause,141,Cate Harris,9,28,Elenco Estándar,Actor Promedio
43,Atlantis Cause,123,Julianne Dench,9,32,Elenco Estándar,Actor Muy Prolífico
44,Attacks Hate,106,Groucho Dunst,4,35,Elenco Estándar,Actor Muy Prolífico
44,Attacks Hate,74,Milla Keitel,4,28,Elenco Estándar,Actor Promedio
44,Attacks Hate,18,Dan Torn,4,22,Elenco Estándar,Actor Promedio
44,Attacks Hate,193,Burt Temple,4,23,Elenco Estándar,Actor Promedio
45,Attraction Newton,163,Christopher West,4,21,Elenco Estándar,Actor Promedio
45,Attraction Newton,73,Gary Penn,4,26,Elenco Estándar,Actor Promedio
45,Attraction Newton,68,Rip Winslet,4,30,Elenco Estándar,Actor Promedio
45,Attraction Newton,13,Uma Wood,4,35,Elenco Estándar,Actor Muy Prolífico
46,Autumn Crow,59,Dustin Tautou,3,27,Elenco Estándar,Actor Promedio
46,Autumn Crow,65,Angela Hudson,3,34,Elenco Estándar,Actor Muy Prolífico
46,Autumn Crow,84,James Pitt,3,31,Elenco Estándar,Actor Muy Prolífico
47,Baby Hall,8,Matthew Johansson,8,20,Elenco Estándar,Actor Promedio
47,Baby Hall,2,Nick Wahlberg,8,25,Elenco Estándar,Actor Promedio
47,Baby Hall,89,Charlize Dench,8,24,Elenco Estándar,Actor Promedio
47,Baby Hall,95,Daryl Wahlberg,8,31,Elenco Estándar,Actor Muy Prolífico
47,Baby Hall,158,Vivien Basinger,8,35,Elenco Estándar,Actor Muy Prolífico
47,Baby Hall,153,Minnie Kilmer,8,20,Elenco Estándar,Actor Promedio
47,Baby Hall,127,Kevin Garland,8,33,Elenco Estándar,Actor Muy Prolífico
47,Baby Hall,143,River Dean,8,31,Elenco Estándar,Actor Muy Prolífico
48,Backlash Undefeated,131,Jane Jackman,7,25,Elenco Estándar,Actor Promedio
48,Backlash Undefeated,127,Kevin Garland,7,33,Elenco Estándar,Actor Muy Prolífico
48,Backlash Undefeated,109,Sylvester Dern,7,22,Elenco Estándar,Actor Promedio
48,Backlash Undefeated,116,Dan Streep,7,24,Elenco Estándar,Actor Promedio
48,Backlash Undefeated,58,Christian Akroyd,7,32,Elenco Estándar,Actor Muy Prolífico
48,Backlash Undefeated,87,Spencer Peck,7,21,Elenco Estándar,Actor Promedio
48,Backlash Undefeated,91,Christopher Berry,7,20,Elenco Estándar,Actor Promedio
49,Badman Dawn,83,Ben Willis,8,33,Elenco Estándar,Actor Muy Prolífico
49,Badman Dawn,200,Thora Temple,8,20,Elenco Estándar,Actor Promedio
49,Badman Dawn,171,Olympia Pfeiffer,8,28,Elenco Estándar,Actor Promedio
49,Badman Dawn,115,Harrison Bale,8,28,Elenco Estándar,Actor Promedio
49,Badman Dawn,118,Cuba Allen,8,25,Elenco Estándar,Actor Promedio
49,Badman Dawn,130,Greta Keitel,8,27,Elenco Estándar,Actor Promedio
49,Badman Dawn,119,Warren Jackman,8,32,Elenco Estándar,Actor Muy Prolífico
49,Badman Dawn,173,Alan Dreyfuss,8,27,Elenco Estándar,Actor Promedio
50,Baked Cleopatra,70,Michelle Mcconaughey,1,23,Elenco Estándar,Actor Promedio
51,Balloon Homeward,53,Mena Temple,6,30,Elenco Estándar,Actor Promedio
51,Balloon Homeward,46,Parker Goldberg,6,24,Elenco Estándar,Actor Promedio
51,Balloon Homeward,73,Gary Penn,6,26,Elenco Estándar,Actor Promedio
51,Balloon Homeward,133,Richard Penn,6,30,Elenco Estándar,Actor Promedio
51,Balloon Homeward,188,Rock Dukakis,6,30,Elenco Estándar,Actor Promedio
51,Balloon Homeward,187,Renee Ball,6,33,Elenco Estándar,Actor Muy Prolífico
52,Ballroom Mockingbird,115,Harrison Bale,7,28,Elenco Estándar,Actor Promedio
52,Ballroom Mockingbird,177,Gene Mckellen,7,27,Elenco Estándar,Actor Promedio
52,Ballroom Mockingbird,138,Lucille Dee,7,24,Elenco Estándar,Actor Promedio
52,Ballroom Mockingbird,35,Judy Dean,7,15,Elenco Estándar,Actor Promedio
52,Ballroom Mockingbird,95,Daryl Wahlberg,7,31,Elenco Estándar,Actor Muy Prolífico
52,Ballroom Mockingbird,71,Adam Grant,7,18,Elenco Estándar,Actor Promedio
52,Ballroom Mockingbird,83,Ben Willis,7,33,Elenco Estándar,Actor Muy Prolífico
53,Bang Kwai,47,Julia Barrymore,7,24,Elenco Estándar,Actor Promedio
53,Bang Kwai,70,Michelle Mcconaughey,7,23,Elenco Estándar,Actor Promedio
53,Bang Kwai,30,Sandra Peck,7,19,Elenco Estándar,Actor Promedio
53,Bang Kwai,6,Bette Nicholson,7,20,Elenco Estándar,Actor Promedio
53,Bang Kwai,102,Walter Torn,7,41,Elenco Estándar,Actor Muy Prolífico
53,Bang Kwai,156,Fay Wood,7,22,Elenco Estándar,Actor Promedio
53,Bang Kwai,149,Russell Temple,7,31,Elenco Estándar,Actor Muy Prolífico
54,Banger Pinocchio,20,Lucille Tracy,6,30,Elenco Estándar,Actor Promedio
54,Banger Pinocchio,5,Johnny Lollobrigida,6,29,Elenco Estándar,Actor Promedio
54,Banger Pinocchio,62,Jayne Neeson,6,29,Elenco Estándar,Actor Promedio
54,Banger Pinocchio,59,Dustin Tautou,6,27,Elenco Estándar,Actor Promedio
54,Banger Pinocchio,96,Gene Willis,6,23,Elenco Estándar,Actor Promedio
54,Banger Pinocchio,190,Audrey Bailey,6,27,Elenco Estándar,Actor Promedio
55,Barbarella Streetcar,177,Gene Mckellen,5,27,Elenco Estándar,Actor Promedio
55,Barbarella Streetcar,173,Alan Dreyfuss,5,27,Elenco Estándar,Actor Promedio
55,Barbarella Streetcar,118,Cuba Allen,5,25,Elenco Estándar,Actor Promedio
55,Barbarella Streetcar,166,Nick Degeneres,5,22,Elenco Estándar,Actor Promedio
55,Barbarella Streetcar,66,Mary Tandy,5,31,Elenco Estándar,Actor Muy Prolífico
56,Barefoot Manchurian,43,Kirk Jovovich,8,26,Elenco Estándar,Actor Promedio
56,Barefoot Manchurian,22,Elvis Marx,8,26,Elenco Estándar,Actor Promedio
